run	nodes	geneid	community
1	458	Id3	1
1	458	Klhl21	1
1	458	Rassf4	1
1	458	Synpo2l	1
1	458	Trim12c	1
1	458	Adamts16	1
1	458	Pmaip1	1
1	458	Svopl	1
1	458	Flnc	1
1	458	Nxf7	3
1	458	Plac1	3
1	458	Id1	1
1	458	Gm36529	1
1	458	Fstl3	3
1	458	Cdx2	3
1	458	Myadm	1
1	458	Chrnb1	1
1	458	Celsr1	1
1	458	Slc5a5	2
1	458	Unc45b	1
1	458	Gcm1	1
1	458	Cox6a2	1
1	458	Mbp	1
1	458	Id2	1
1	458	Slc1a3	1
1	458	Zcchc24	1
1	458	Wnt6	3
1	458	Mbnl3	3
1	458	Mat1a	1
1	458	Iqgap2	1
1	458	Bex1	1
1	458	Gjb5	3
1	458	Gjb3	3
1	458	Homer2	1
1	458	Map1a	1
1	458	Pcsk9	2
1	458	Sost	3
1	458	Cdh5	3
1	458	Fthl17a	3
1	458	Marveld2	1
1	458	Ppl	1
1	458	F2rl1	1
1	458	Lbr	1
1	458	Smad3	1
1	458	Cbr3	1
1	458	Cldn5	1
1	458	Efnb1	1
1	458	Vsir	3
1	458	Elf3	3
1	458	Hsbp1l1	1
1	458	Cit	1
1	458	Nbl1	1
1	458	Pou3f1	1
1	458	Pdgfa	3
1	458	Slc40a1	3
1	458	Sulf1	1
1	458	Batf3	3
1	458	Cebpa	3
1	458	Krt19	3
1	458	Phldb2	1
1	458	Fam19a4	1
1	458	Hrc	1
1	458	Foxa3	2
1	458	Gm23639	2
1	458	AI661453	2
1	458	Sin3b	3
1	458	Hand1	3
1	458	Lzts1	1
1	458	Lrrc8c	1
1	458	Tnni2	1
1	458	Pdlim3	1
1	458	Mt2	1
1	458	B4galt1	2
1	458	Galnt12	2
1	458	D030055H07Rik	1
1	458	Krt18	3
1	458	Stra8	1
1	458	Actn1	1
1	458	Zfp568	1
1	458	Itpr3	2
1	458	Lsr	2
1	458	Prlr	3
1	458	Tpbpa	3
1	458	Serpinb9e	3
1	458	Cpeb1	1
1	458	Ammecr1	1
1	458	Lrrc8d	1
1	458	Mt1	2
1	458	Ripk4	2
1	458	Itga3	2
1	458	Socs2	1
1	458	Cd164	1
1	458	Dusp9	3
1	458	Rhox9	3
1	458	Acta1	1
1	458	Actn3	2
1	458	Krt8	1
1	458	Eps8l2	3
1	458	Ascl2	3
1	458	Iqgap1	1
1	458	Cacng6	2
1	458	Sgk2	3
1	458	Mt4	3
1	458	Lmo7	3
1	458	Anxa4	1
1	458	Nucks1	1
1	458	Sema3f	3
1	458	Ccdc136	1
1	458	Hpn	2
1	458	Snai3	2
1	458	Usp2	2
1	458	Adcy7	3
1	458	H19	3
1	458	Gm24616	2
1	458	Zeb1	1
1	458	Tpm1	1
1	458	Tceal9	1
1	458	Castor2	1
1	458	Krt7	3
1	458	Sfmbt2	3
1	458	Dbi	2
1	458	Vasp	3
1	458	Cldn3	3
1	458	Epcam	1
1	458	Prss8	3
1	458	F11r	2
1	458	Rrp1b	1
1	458	Sorbs2	1
1	458	Agtrap	2
1	458	Arhgef5	3
1	458	Peg10	3
1	458	Tpm2	3
1	458	Chd7	1
1	458	Tnnc2	2
1	458	Arhgef16	2
1	458	Sort1	1
1	458	Esx1	3
1	458	Prss16	2
1	458	Ckb	1
1	458	Tfap2c	3
1	458	Arpc1b	3
1	458	Cyp51	1
1	458	Esrp2	2
1	458	Patj	2
1	458	Klhl13	3
1	458	Ldlrap1	3
1	458	Fgfbp1	3
1	458	Trim25	3
1	458	Cdh1	2
1	458	Lmnb1	2
1	458	Rgcc	3
1	458	Ets2	3
1	458	St14	2
1	458	Cldn6	2
1	458	Rhox6	3
1	458	Dsp	3
1	458	Arhgap9	2
1	458	Pgam2	3
1	458	Eppk1	3
1	458	Wdr86	2
1	458	Tnnt1	3
1	458	Cyba	3
1	458	Cplx2	1
1	458	Tcf15	2
1	458	2900026A02Rik	2
1	458	Lgals1	3
1	458	Zdbf2	1
1	458	Snx5	2
1	458	Slc2a3	2
1	458	Xlr4b	2
1	458	Anxa3	2
1	458	Arnt2	1
1	458	Hpdl	2
1	458	Gnmt	2
1	458	Cldn7	2
1	458	Ddx5	1
1	458	Tmem38a	1
1	458	Plcg2	2
1	458	Grb7	2
1	458	Erfe	3
1	458	S1pr2	3
1	458	Nop56	2
1	458	Kdf1	2
1	458	Tpd52	1
1	458	Dhfr	1
1	458	Ldhb	2
1	458	Phlda2	2
1	458	Mapk13	2
1	458	Trap1a	1
1	458	Myh9	3
1	458	Eef1b2	2
1	458	Rp9	2
1	458	Tbrg1	3
1	458	Cdip1	3
1	458	Cdc6	1
1	458	Gm22748	2
1	458	Plec	3
1	458	Plin3	2
1	458	Ptprk	1
1	458	Synrg	1
1	458	Gm25636	2
1	458	Fabp3	3
1	458	Dynlt3	3
1	458	Zfp36	3
1	458	Naa50	2
1	458	Ctps	2
1	458	Hspe1	2
1	458	Slc38a4	2
1	458	Sqle	1
1	458	Mre11a	2
1	458	Nop58	2
1	458	Slc25a13	2
1	458	Snap23	2
1	458	Cgnl1	2
1	458	Ak3	1
1	458	St13	2
1	458	Espn	2
1	458	S100a11	2
1	458	Ifi30	2
1	458	Foxo1	2
1	458	Osbpl5	3
1	458	Eif4b	2
1	458	Lig1	2
1	458	Nup85	1
1	458	Gm33167	1
1	458	Mkrn1	2
1	458	Lbh	1
1	458	Dkc1	2
1	458	Atp2b4	1
1	458	Wdr43	2
1	458	Pdzph1	1
1	458	Jakmip2	1
1	458	Hmgn5	3
1	458	Sfrp2	3
1	458	Slc1a2	1
1	458	Gab2	3
1	458	Tsr1	2
1	458	Tram1l1	1
1	458	Myof	3
1	458	Pnma5	1
1	458	Ksr2	1
1	458	Pla2g4e	1
1	458	Kpna4	1
1	458	Mybbp1a	2
1	458	Phox2b	1
1	458	Pabpc4	2
1	458	Hspa12a	1
1	458	Lmx1b	1
1	458	Cdca2	1
1	458	AU020206	2
1	458	Ubash3b	1
1	458	Eif4e3	1
1	458	Glra1	1
1	458	Kcnk2	3
1	458	Grm5	1
1	458	Pfkfb3	3
1	458	Cntn2	1
1	458	Lef1	2
1	458	Mvb12b	1
1	458	Adgrg1	3
1	458	Grasp	2
1	458	Cwf19l2	1
1	458	Myo5c	2
1	458	Maoa	1
1	458	AU040320	1
1	458	Kcnj12	1
1	458	Npas3	1
1	438	Id3	0
1	438	Klhl21	0
1	438	Rassf4	0
1	438	Synpo2l	0
1	438	Trim12c	0
1	438	Adamts16	0
1	438	Pmaip1	0
1	438	Svopl	0
1	438	Flnc	0
1	438	Nxf7	2
1	438	Plac1	2
1	438	Id1	0
1	438	Gm36529	0
1	438	Fstl3	2
1	438	Cdx2	2
1	438	Dlx6os1	2
1	438	Myadm	0
1	438	Chrnb1	0
1	438	Celsr1	0
1	438	Slc5a5	0
1	438	Unc45b	0
1	438	Gcm1	0
1	438	Cox6a2	0
1	438	Mbp	0
1	438	Id2	0
1	438	Csnk1d	2
1	438	Slc1a3	0
1	438	Zcchc24	0
1	438	Wnt6	2
1	438	Mbnl3	2
1	438	Mat1a	0
1	438	Iqgap2	0
1	438	Bex1	0
1	438	Gjb5	2
1	438	Gjb3	2
1	438	Homer2	0
1	438	Map1a	0
1	438	Pcsk9	4
1	438	Sost	2
1	438	Cdh5	2
1	438	Fthl17a	2
1	438	Marveld2	0
1	438	Ppl	0
1	438	F2rl1	0
1	438	Lbr	0
1	438	Smad3	0
1	438	Cbr3	0
1	438	Cldn5	0
1	438	Efnb1	0
1	438	Vsir	2
1	438	Elf3	2
1	438	Hsbp1l1	0
1	438	Cit	0
1	438	Cited4	2
1	438	Nbl1	0
1	438	Pou3f1	0
1	438	Pdgfa	2
1	438	Slc40a1	2
1	438	Sulf1	0
1	438	Batf3	2
1	438	Cebpa	2
1	438	Krt19	2
1	438	Phldb2	0
1	438	Fam19a4	0
1	438	Hrc	0
1	438	Foxa3	4
1	438	Gm23639	4
1	438	AI661453	4
1	438	Sin3b	2
1	438	Hand1	2
1	438	Lzts1	0
1	438	Lrrc8c	0
1	438	Tnni2	0
1	438	Pdlim3	0
1	438	Mt2	0
1	438	B4galt1	2
1	438	Galnt12	2
1	438	Dlx1	2
1	438	Krt18	2
1	438	Stra8	0
1	438	Actn1	0
1	438	Zfp568	0
1	438	Itpr3	4
1	438	Lsr	4
1	438	Prlr	2
1	438	Tpbpa	2
1	438	Serpinb9e	2
1	438	Cpeb1	0
1	438	Ammecr1	0
1	438	Lrrc8d	0
1	438	Mt1	2
1	438	Ripk4	2
1	438	Itga3	4
1	438	Socs2	0
1	438	Cd164	0
1	438	Dusp9	2
1	438	Rhox9	2
1	438	Acta1	0
1	438	Actn3	4
1	438	Krt8	0
