run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community
3	214	Thsd7a	0.0	0.0	0.0	0.0	2
3	214	Scube3	0.0	0.0	0.0	0.0	2
3	214	Kif14	0.0	0.0	0.0	0.0	1
3	214	H2afv	0.004694835680751174	0.00013287270794578793	0.004694835680751174	0.0023695632916998846	1
3	214	Chodl	0.0	0.0	0.0	0.0	0
3	214	Rpl22	0.0	0.0	0.0	0.0	8
3	214	Gm7972	0.004694835680751174	0.0	0.004694835680751174	0.0	0
3	214	Asf1b	0.0	0.0	0.0	0.0	1
3	214	Tbc1d30	0.0	0.0	0.0	0.0	4
3	214	Myo10	0.0	0.0	0.0	0.0	0
3	214	Lmnb1	0.0	0.0	0.0	0.0	1
3	197	Prtg	0.0510204081632653	0.009733124018838305	0.06632653061224489	0.04495028780743066	0
3	197	Neurod4	0.061224489795918366	0.005599162742019885	0.06632653061224489	0.013265306122448979	0
3	197	Gcnt1	0.015306122448979591	0.0	0.015306122448979591	0.0	0
3	197	Mmp25	0.04081632653061224	0.008503401360544217	0.04081632653061224	0.02260596546310832	0
3	197	Pou3f4	0.02040816326530612	0.0010727367870225013	0.02551020408163265	0.05368916797488226	4
3	197	Pantr1	0.01020408163265306	0.0008634222919937205	0.015306122448979591	0.021166928309785452	4
3	197	Bcl11b	0.01020408163265306	0.0	0.01020408163265306	0.0	2
3	197	Pou2f2	0.015306122448979591	0.0022239665096807954	0.02040816326530612	0.03898482469911041	2
3	197	Lpar4	0.030612244897959183	0.003846153846153846	0.030612244897959183	0.01813186813186813	1
3	197	Sept11	0.0	0.0	0.0	0.0	1
3	197	Cyp26b1	0.00510204081632653	0.0	0.00510204081632653	0.032129774986917846	4
3	197	C130071C03Rik	0.01020408163265306	0.0013082155939298796	0.01020408163265306	0.039272632129774984	4
3	197	Psen2	0.02040816326530612	0.003165881737310309	0.02040816326530612	0.006567242281527995	0
3	197	Pnma5	0.00510204081632653	0.0006279434850863422	0.00510204081632653	0.0009942438513867084	0
3	197	Iqgap2	0.02551020408163265	0.00026164311878597594	0.02551020408163265	0.0477498691784406	5
3	197	Top2a	0.00510204081632653	7.849293563579278e-05	0.00510204081632653	0.031449502878074305	5
3	197	Pou3f3	0.02040816326530612	0.0017006802721088435	0.04081632653061224	0.06543694400837258	3
3	197	Eif4b	0.0	0.0	0.0	0.0	0
3	197	Adam17	0.00510204081632653	7.849293563579278e-05	0.00510204081632653	0.01902145473574045	5
