run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
2	77	Phox2a	0.013157894736842105	0.0012280701754385963	0.013157894736842105	0.01631578947368421	0	20	26.0	57.0	10.0	13.0
2	69	Shox2	0.044117647058823525	0.0046093064091308165	0.044117647058823525	0.010974539069359086	1	12	20.0	17.0	1.0	4.0
2	69	Kcnip3	0.1323529411764706	0.018217734855136083	0.14705882352941177	0.1766900790166813	0	17	1.0	1.0	1.0	1.0
2	69	Tlx3	0.044117647058823525	0.0030728709394205445	0.044117647058823525	0.0037313432835820895	1	12	28.0	17.0	3.0	4.0
2	69	Six3	0.014705882352941176	0.0021949078138718174	0.044117647058823525	0.024363476733977173	0	17	13.0	17.0	6.0	12.0
2	69	Isl1	0.0	0.0	0.014705882352941176	0.026119402985074626	0	17	12.0	50.0	17.0	17.0
2	69	Phox2a	0.0	0.0	0.0	0.0	1	12	69.0	69.0	12.0	12.0
2	46	Kcnip3	0.044444444444444446	0.0035353535353535356	0.2	0.20707070707070707	4	6	1.0	1.0	1.0	2.0
2	46	Six3	0.022222222222222223	0.000505050505050505	0.06666666666666667	0.04242424242424243	6	5	7.0	9.0	2.0	3.0
2	46	Isl1	0.022222222222222223	0.0	0.022222222222222223	0.010606060606060607	1	7	17.0	34.0	7.0	3.0
2	41	Kcnip3	0.05	0.0019230769230769232	0.15000000000000002	0.2846153846153846	0	9	1.0	1.0	3.0	3.0
2	41	Six3	0.0	0.0	0.05	0.016025641025641024	3	5	14.0	14.0	5.0	5.0
2	41	Isl1	0.0	0.0	0.0	0.0	0	9	41.0	41.0	9.0	9.0
3	444	Kcnip3	0.12866817155756208	0.004238889513089487	0.16478555304740405	0.022716362113520523	0	131	8.0	6.0	3.0	1.0
3	444	Isl1	0.0474040632054176	0.00013789158657038087	0.10158013544018057	0.009294914354003451	3	67	56.0	35.0	27.0	16.0
3	444	Shox2	0.12866817155756208	0.0015014861648774806	0.21218961625282165	0.015316180300910084	2	81	24.0	3.0	4.0	2.0
3	444	Tlx3	0.07900677200902934	0.00018385544876050783	0.11512415349887133	0.006976292861301492	2	81	70.0	27.0	32.0	14.0
3	444	Six3	0.05869074492099322	0.0006077444000694564	0.13769751693002255	0.020591810261176877	3	67	12.0	16.0	7.0	8.0
3	444	Phox2a	0.08126410835214447	0.0006026373042705535	0.12415349887133181	0.01880432673156083	2	81	15.0	21.0	13.0	13.0
3	422	Kcnip3	0.11401425178147269	0.004586585227915394	0.15676959619952494	0.031099423142178485	0	113	5.0	5.0	2.0	1.0
3	422	Isl1	0.0498812351543943	0.0002771179730799683	0.09263657957244656	0.008952607171134486	3	70	58.0	31.0	23.0	12.0
3	422	Shox2	0.12114014251781473	0.0016457414319647097	0.19002375296912116	0.023916977717452777	2	78	12.0	3.0	3.0	2.0
3	422	Tlx3	0.06888361045130642	0.0003732609433322022	0.0997624703087886	0.008969573577649586	2	78	57.0	26.0	19.0	13.0
3	422	Six3	0.057007125890736345	0.0003506390679787354	0.12114014251781473	0.025460920710326886	3	70	10.0	17.0	21.0	9.0
3	422	Phox2a	0.07600950118764846	0.0014421445537835087	0.11163895486935868	0.033050559891415	2	78	4.0	20.0	6.0	10.0
3	398	Kcnip3	0.10831234256926951	0.00413454443681144	0.13602015113350124	0.02197033305345648	0	105	17.0	6.0	2.0	1.0
3	398	Isl1	0.04030226700251889	0.00018446429025774114	0.08312342569269521	0.006672518637254154	4	55	85.0	28.0	20.0	10.0
3	398	Shox2	0.10579345088161209	0.001583848561178536	0.16120906801007556	0.027224384907004556	2	82	11.0	3.0	7.0	2.0
3	398	Tlx3	0.0654911838790932	0.0002289901534234028	0.09571788413098237	0.005769279698750732	2	82	101.0	23.0	25.0	14.0
3	398	Six3	0.05037783375314861	0.0014693534844668348	0.10579345088161209	0.01931150293870697	0	105	23.0	17.0	15.0	17.0
3	398	Phox2a	0.08060453400503778	0.002239014833473272	0.11083123425692695	0.03363610920285984	2	82	5.0	15.0	4.0	7.0
3	373	Kcnip3	0.08602150537634409	0.004151812885836014	0.12096774193548387	0.03158421006868968	0	90	10.0	4.0	3.0	1.0
3	373	Isl1	0.048387096774193554	0.00036228733733298553	0.07795698924731183	0.010194765672550213	3	57	62.0	25.0	18.0	7.0
3	373	Shox2	0.10215053763440861	0.0033765179839434253	0.14516129032258066	0.03446077152711358	2	83	7.0	3.0	6.0	2.0
3	373	Tlx3	0.05913978494623656	0.00039127032431962436	0.08064516129032259	0.009839724081963886	2	83	66.0	23.0	28.0	13.0
3	373	Six3	0.051075268817204304	0.0007245746746659711	0.08870967741935484	0.009636843173057415	3	57	70.0	17.0	11.0	5.0
3	373	Phox2a	0.07795698924731183	0.003405500970930064	0.09677419354838711	0.03673593600556473	2	83	6.0	14.0	5.0	5.0
3	351	Kcnip3	0.06571428571428571	0.003921408104789194	0.10285714285714286	0.03207531723291036	1	83	12.0	5.0	2.0	5.0
3	351	Isl1	0.045714285714285714	0.0008759721653704462	0.06285714285714286	0.013237822349570202	3	58	43.0	30.0	12.0	5.0
3	351	Shox2	0.11142857142857143	0.005468686041751945	0.1457142857142857	0.04278346295538273	2	72	6.0	3.0	1.0	2.0
3	351	Tlx3	0.05714285714285714	0.0008432255423659436	0.07714285714285714	0.013008595988538683	2	72	45.0	18.0	13.0	9.0
3	351	Six3	0.04857142857142857	0.0010233319688907083	0.07714285714285714	0.013999181334424888	3	58	41.0	18.0	9.0	4.0
3	351	Phox2a	0.06	0.0009496520671305772	0.09142857142857143	0.029496520671305773	2	72	14.0	13.0	11.0	7.0
3	320	Kcnip3	0.06583072100313479	0.004100865519212949	0.10031347962382445	0.02828217109284123	0	78	21.0	6.0	3.0	3.0
3	320	Isl1	0.0438871473354232	0.0013308097237830485	0.05956112852664577	0.01839474773762347	3	59	35.0	28.0	8.0	8.0
3	320	Shox2	0.09717868338557993	0.003952997772125944	0.13793103448275862	0.05990615326984878	2	67	2.0	2.0	3.0	2.0
3	320	Tlx3	0.05329153605015674	0.000660475936988624	0.07210031347962383	0.013347528637053687	2	67	47.0	17.0	16.0	10.0
3	320	Six3	0.050156739811912224	0.002001143510577473	0.07836990595611285	0.017783561049663846	3	59	38.0	14.0	5.0	3.0
