treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ascl1p	1	0.3	positive	654	8137	2.7030129484216587	248	7.4830486028192595	86.0	-0.11066818713020288	0.8049802289270668	-0.10648628250397563	0.7131170457202636	
Ascl1p	1	0.32105263157894737	positive	633	6325	2.7470889210552047	264	8.11713446339146	79.0	0.13065819932786793	0.6957209968872295	0.09065386159877686	0.4337485246640187	
Ascl1p	1	0.34210526315789475	positive	614	4925	2.728182925911753	279	3.2420468737282757	26.0	-7.135405921485573	0.010202212260754845	-6.4173646440612915	0.02103533460929441	
Ascl1p	1	0.3631578947368421	positive	581	3807	2.9320525340377475	274	5.978368303772621	46.0	-0.21879269221608544	0.7356327492480693	-0.21344783941501477	0.6276193259426236	
Ascl1p	1	0.38421052631578945	positive	549	2950	2.9399410509590274	281	5.674955067291241	41.0	-0.4165001873664398	0.4629590466902449	-0.36867607491371945	0.5443952147682994	
Ascl1p	1	0.4052631578947368	positive	511	2246	3.054819494549139	285	4.424847049625889	29.0	-1.3472430557793	0.10407698983257825	-1.3593357171460259	0.25016039384178146	
Ascl1p	1	0.4263157894736842	positive	457	1712	3.0235671458977627	251	2.586315239089518	9.0	-7.071300110440777	0.06696791591486449	-6.880780656078789	0.014635378492728533	
Ascl1p	1	0.4473684210526315	positive	413	1331	3.4979689186965714	234	2.6012610920439014	8.0	-6.325356692999922	0.0725657389393452	-6.103042588819399	0.020182570344493184	
Ascl1p	1	0.46842105263157896	positive	366	1016	3.662877683096982	212	2.783156902054233	9.0	-4.180812219508084	0.08714183181329443	-3.713377136955759	0.07242550083387345	
Ascl1p	1	0.4894736842105263	positive	324	797	4.31576041574399	190	2.35483058202562	5.0	-9.169251295754615	0.013263157238697657	-8.386179556205494	0.0067243504507748944	
Ascl1p	1	0.5105263157894737	positive	217	537	2.835665781449353	128	4.129328822830325	13.0	-1.2595109304119791	0.07877792842365712	-1.3971558311449361	0.26355487289008905	
Ascl1p	1	0.531578947368421	positive	186	425	2.9577376687792785	117	2.972901321224967	7.0	-3.55536441168756	0.028488496144993332	-3.3308205296045923	0.10218090317250034	
Ascl1p	1	0.5526315789473684	positive	163	338	3.7062934422571963	100	3.1587301918921873	7.0	-1.8762275620029092	0.14810574489644557	-1.6276018466607804	0.22184703588881238	
Ascl1p	1	0.5736842105263158	positive	135	259	3.2428484255136527	76	2.003059666784002	2.0	-10.230166802766451	0.01374606413355584	-9.57783619369409	0.002573685215414681	
Ascl1p	1	0.5947368421052631	positive	94	179	3.1925387717766407	55	2.66358561268229	4.0	-3.364863432824682	0.04237467767794624	-3.0203379793894776	0.10429870412913926	
Ascl1p	1	0.6157894736842104	positive	81	142	2.005176020560636	47	2.9315613265758413	4.0	-0.6672124443052718	0.6638799052367296	-0.6953654365026964	0.3836410657825745	
Ascl1p	1	0.6368421052631579	positive	67	110	1.8269028226372703	41	14.240857776483972	11.0	-0.056947922352641234	0.6356528222528561	-0.3967459967034206	0.37346607912505947	
Ascl1p	1	0.6578947368421053	positive	29	45	1.2371888726207905	17	2.0932457625442087	2.0	-2.473597421983949	0.10924716511793613	-2.1036666932747368	0.17305083265933874	
Ascl1p	1	0.6789473684210526	positive	27	38	1.282279608192342	17	3.777833054931581	5.0	-0.34334131323767214	0.3008629613200773	-0.3635177794673705	0.5112858015843789	
