treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2n	1	0.3	positive	471	9558	1.5434020117456175	173	5.30654337569307	96.0	-1.1657987727201817	0.21126984569634255	-0.9923364040877947	0.30186591709594324	
Ngn2n	1	0.32105263157894737	positive	441	7879	1.6020931432185286	158	4.847607038058668	77.0	-1.5653373323304054	0.1514851658664691	-1.3671705988180745	0.22246723531867763	
Ngn2n	1	0.34210526315789475	positive	419	6519	1.6558128416464368	145	4.8173383973888075	68.0	-1.4132659423956486	0.19315855266980386	-1.2270541796526402	0.2787897736294145	
Ngn2n	1	0.3631578947368421	positive	398	5316	1.7752749847786873	140	4.667274265806668	55.0	-1.4059556021749464	0.2448126493850642	-1.2288672250077273	0.2802939653851342	
Ngn2n	1	0.38421052631578945	positive	387	4379	1.7752536951974633	133	4.894714303060244	53.0	-1.077312578090306	0.248998484863444	-0.9160495494996672	0.34985899084796246	
Ngn2n	1	0.4052631578947368	positive	366	3561	1.9107875991373013	135	4.17802860452992	38.0	-1.6016334025182037	0.2508196389627989	-1.376058894883347	0.26620956332806833	
Ngn2n	1	0.4263157894736842	positive	353	2916	2.0362244357616577	141	3.9564642530727507	32.0	-2.481569799628837	0.06965642030624329	-2.317433716400134	0.15581363601139692	
Ngn2n	1	0.4473684210526315	positive	335	2357	2.0681447414131755	125	3.6955542563144212	25.0	-3.1855567021955733	0.0437070784096055	-2.8265961507503574	0.12331017048054704	
Ngn2n	1	0.46842105263157896	positive	321	1906	2.1082785617702675	133	3.670912222429617	21.0	-3.3592979058539028	0.034537028209159576	-3.025072882689062	0.12129756922132413	
Ngn2n	1	0.4894736842105263	positive	302	1539	2.2478131660954572	128	3.5154531245395195	17.0	-4.1190849215657535	0.009386144925187289	-4.070979345057595	0.06063667996356326	
Ngn2n	1	0.5105263157894737	positive	286	1233	2.4552445686981677	138	6.364058165758636	25.0	0.0067321953075434315	0.9895363057170956	-0.05006203781445295	0.8156046480712755	
Ngn2n	1	0.531578947368421	positive	272	998	2.929816174910589	133	6.803888200036121	21.0	0.28623462628495244	0.525331935499241	-0.0005891912663316123	0.985622147573746	
Ngn2n	1	0.5526315789473684	positive	248	767	2.6298595520460126	132	5.219574394725503	16.0	-0.018898925650407516	0.9726641608450026	-0.08656333068607047	0.7128616874826826	
Ngn2n	1	0.5736842105263158	positive	228	604	2.780438112234119	124	4.325612069313729	11.0	-0.07192815136824837	0.9397594053821421	-0.2061805472701126	0.6221251200622621	
Ngn2n	1	0.5947368421052631	positive	217	496	2.5100524890069034	121	3.8341397695324546	8.0	-0.10336621845673166	0.9367927594658548	-0.410811280268222	0.4943703257157085	
Ngn2n	1	0.6157894736842104	positive	197	408	2.9076534685510844	112	4.053766897428071	8.0	-0.20100128901379977	0.8550047696556777	-0.32527739196336314	0.570042972628708	
Ngn2n	1	0.6368421052631579	positive	182	326	2.34284624350959	108	4.243433863737165	7.0	0.6608121881657048	0.600013813503323	-0.040468689544072234	0.8076496708174171	
Ngn2n	1	0.6578947368421053	positive	157	240	3.8075552638364707	92	3.4848012185026453	5.0	-0.324025703204317	0.8101494966959166	-0.51391959947089	0.4629732579469955	
Ngn2n	1	0.6789473684210526	positive	128	176	3.4262574091836986	84	2.770348711893713	3.0	-2.240566385938755	0.2467372912474013	-2.0399500739294196	0.14329896230098746	
Ngn2n	1	0.7	positive	53	63	0.7598955470038483	36	3.859898760888771	5.0	0.0379957633524578	0.9258618654834112	-0.038209507470073345	0.7386988762203743	
Ngn2n	2	0.3	positive	429	6425	1.7317769907214795	160	4.728666631885641	68.0	-0.9440045996301221	0.38276479831509447	-0.7854317629044587	0.3724234387342942	
Ngn2n	2	0.32105263157894737	positive	407	5107	1.7840102977211099	157	5.068651845947036	62.0	-0.39748941602917975	0.6827458192665747	-0.3119010111072624	0.5902017385557379	
Ngn2n	2	0.34210526315789475	positive	387	4056	1.8597242387076993	158	5.008811974729935	53.0	-0.5727415224949834	0.5107759985781426	-0.44925327695996353	0.5064281127216308	
Ngn2n	2	0.3631578947368421	positive	356	3211	1.9935552983374378	147	4.610119042865382	44.0	-1.173774944738025	0.14510696036123893	-1.0972605000010232	0.2911616060782958	
Ngn2n	2	0.38421052631578945	positive	338	2548	2.134091347415753	144	4.57526537780773	36.0	-0.589812435876488	0.5072985127721846	-0.4735868927232292	0.46327665161485265	
Ngn2n	2	0.4052631578947368	positive	322	1975	2.3097439504369275	136	4.263724621409483	26.0	-0.5804408567196888	0.6313311905213829	-0.527485087577293	0.47473270547351265	
Ngn2n	2	0.4263157894736842	positive	304	1539	2.513832693678457	130	4.42010515843029	24.0	-0.5218174779609552	0.609505816512931	-0.41205871273144634	0.5499519839453315	
Ngn2n	2	0.4473684210526315	positive	281	1171	2.5653023097184167	131	3.9935674914747628	18.0	-0.9436934089892897	0.42859746680882305	-0.798915113012066	0.39807692877228984	
Ngn2n	2	0.46842105263157896	positive	264	879	2.4518454696420973	135	4.1432282286323545	16.0	-1.0662587451159404	0.2402362860776327	-0.9767376064561888	0.3439795464012704	
Ngn2n	2	0.4894736842105263	positive	243	680	3.053010385842247	144	2.0616105026445752	3.0	-12.318013263145176	0.02919410043846046	-12.581812696761661	0.0007810623047667771	
Ngn2n	2	0.5105263157894737	positive	221	530	2.070004548820088	136	2.1058071172569415	3.0	-10.294824050892657	0.033288675881082336	-9.481011347729547	0.004132239510588688	
Ngn2n	2	0.531578947368421	positive	199	405	2.50068162521584	125	1.9319591326518248	2.0	-13.659994406747472	0.009298891951666213	-13.17289286123042	0.0003905458305082296	
