treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2p	1	0.3	positive	462	7111	1.6404822963558967	168	5.817552447733192	84.0	-2.2975935852599725	0.0016423378129626408	-3.8150554502681135	0.08724959916452678	
Ngn2p	1	0.32	positive	439	5834	1.743436896914562	178	1.7715354619319377	8.0	-51.588093598729046	3.322469346584535e-07	-44.482584155709155	6.752208609907641e-09	
Ngn2p	1	0.33999999999999997	positive	419	4638	1.8491390010092625	207	3.7922645983757275	46.0	-6.54914343852588	5.253183911547971e-06	-9.161334655722005	0.009461184109570931	
Ngn2p	1	0.36	positive	401	3775	1.9036498566458024	185	7.998286222985388	65.0	-0.6839979850505409	0.037527740655688265	-1.3480941315744022	0.26767504045889523	
Ngn2p	1	0.38	positive	383	3003	1.9730869903970634	188	1.7189736481807805	4.0	-31.285393234446296	0.005011760873738234	-32.13388015095195	8.216033673643537e-07	
Ngn2p	1	0.4	positive	369	2403	2.0662350294382663	186	7.065562490699721	45.0	-0.9261753526798855	0.017113494466986567	-1.8629350383690415	0.20618108116403344	
Ngn2p	1	0.42000000000000004	positive	345	1920	2.0240710306352643	173	7.742948434685752	41.0	-0.6235286521954342	0.048096173862378154	-1.2902383722294417	0.29837725298909634	
Ngn2p	1	0.44	positive	316	1558	2.0830296366291554	163	5.798249289601775	31.0	-0.8764224865778498	0.13854654380600082	-0.9578484582048818	0.35007186937748713	
Ngn2p	1	0.46	positive	289	1253	2.0940989727919224	148	4.804990261915759	24.0	-1.7172732993201478	0.032673314158550334	-2.109580328675643	0.21253730832189732	
Ngn2p	1	0.48000000000000004	positive	256	969	2.236112060851759	138	1.6883035080997453	2.0	-24.178302395168803	0.007970886153879747	-24.48773771913985	7.045111644911908e-06	
Ngn2p	1	0.5	positive	231	765	2.0978527701663374	131	4.63903717332548	17.0	-1.8728328744729101	0.0028268015786187778	-3.0169630345124423	0.09791838060803842	
Ngn2p	1	0.52	positive	206	618	2.1254245178720725	116	6.685215716890377	17.0	-0.2665590935549027	0.49526323719664456	-0.22478478711216843	0.5628122792974826	
Ngn2p	1	0.54	positive	167	462	2.0504889780835884	96	7.909167402307175	15.0	0.1374644164347416	0.6633366011817143	-0.0037830468535609008	0.9621738568751532	
Ngn2p	1	0.56	positive	138	351	2.4488609134623194	84	6.429852681919297	12.0	0.5643992730017093	0.26951795004581713	-1.5668841449779172	0.3133189879497329	
Ngn2p	1	0.5800000000000001	positive	126	279	1.7871895893027696	77	4.7112477670639255	9.0	-0.4018731579673711	0.4287239125870146	-0.36933751772702195	0.4751418595570145	
Ngn2p	1	0.6000000000000001	positive	105	203	3.292910492567064	63	2.815833490001918	4.0	-4.351476110766817	0.011626384986806697	-4.254408841876579	0.0750925716461553	
Ngn2p	1	0.6200000000000001	positive	83	138	3.4440225379715828	54	5.2521482536908195	6.0	0.10724004804399678	0.8607718177643917	-0.05009336885578097	0.8283543233753947	
Ngn2p	1	0.6400000000000001	positive	78	116	1.9186295503211992	51	5.7549163473344285	6.0	0.019967549666095596	0.9555321533451075	-0.04308462162661231	0.8304170827675904	
Ngn2p	1	0.6600000000000001	positive	52	70	3.8892807851556506	31	8.225697862711497	6.0	-0.11264374968577362	0.2434176503381047	-0.4524418237960274	0.3350715241275122	
Ngn2p	1	0.68	positive	34	42	inf	23	4.856994166427938	4.0	-0.15429893244211956	0.504692827192745	-0.14128876132520635	0.5568919685855056	
Ngn2p	2	0.3	positive	465	7484	1.608521720789615	169	5.1408782606785115	82.0	-2.7489114513843282	0.0017010026491232604	-3.9858685273914105	0.0757245438529454	
Ngn2p	2	0.32	positive	455	6111	1.6600569419479123	165	7.548221100124694	87.0	-0.5288170362253304	0.23679456638016982	-0.5680751425622437	0.43761094061510675	
Ngn2p	2	0.33999999999999997	positive	434	5014	1.7725559244115752	172	6.527095184539689	70.0	-1.288542534725226	0.022886523456926596	-2.0187856396669885	0.21027907076691843	
Ngn2p	2	0.36	positive	415	4098	1.8520247823411862	175	6.099138338121414	59.0	-1.4443677567328304	0.013243178550040034	-2.194860466459894	0.15197973285253544	
Ngn2p	2	0.38	positive	396	3358	1.898674402729567	187	6.826346029688981	55.0	-0.8863435899863941	0.08753438245887099	-1.210896954613224	0.32868417805372796	
Ngn2p	2	0.4	positive	377	2743	1.9449400617219745	172	6.875573543982954	47.0	-0.9914681975570163	0.04397598222956357	-1.528519409456225	0.25406631005976776	
Ngn2p	2	0.42000000000000004	positive	357	2205	1.9984366905803037	169	6.493007799237104	39.0	-1.1839779494858873	0.01920805821383838	-1.8936350414158403	0.18482320473737868	
Ngn2p	2	0.44	positive	334	1755	2.1170484065235358	163	6.572261884314866	32.0	-1.0336096299623174	0.08264824645169638	-1.3254347262120332	0.31345384189209125	
Ngn2p	2	0.46	positive	308	1409	2.069544847734392	160	5.544456598388787	26.0	-1.8435127110422378	0.002072790220364171	-3.357895201758385	0.09405615970863118	
