treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Ngn2p	2	0.5947368421052632	positive	84	191	2.8050157047506867	55	8.54617646706066	14.0	-0.10211509373490957	0.33764987790806056	-0.14524532065089724	0.6345719306263409	
Ngn2p	2	0.6131578947368421	positive	72	159	1.8339272496563392	51	4.492384939096233	9.0	-0.3636690368575277	0.5358940624203377	-0.2902654617180189	0.6143779367152065	
Ngn2p	2	0.631578947368421	positive	36	87	1.3094194234090606	21	1.5658063335739687	1.0	-3.1251515291164575	0.42588893223336555	-4.054218434093375	0.019302053227031393	
Ngn2p	2	0.65	positive	31	68	1.0839663172366385	21	10.087903386816635	11.0	-0.10133930555508197	0.0007526262546920355	-0.3570916759130147	0.5303370612038816	
Ngn2p	3	0.3	positive	617	6068	2.7692496776857145	255	5.41582155934409	52.0	-3.228330244879365	0.001649007505809602	-4.815683095993706	0.07577172935750295	
Ngn2p	3	0.31842105263157894	positive	587	4803	2.8845297250877064	267	5.681676008579576	47.0	-2.805092230504217	0.00048288653022669303	-4.874264641480377	0.06113141005408403	
Ngn2p	3	0.3368421052631579	positive	555	3840	2.8558132675306704	263	7.610768434477873	47.0	-0.7600038726274723	0.15710121194419496	-0.9673309156975178	0.41066481486314954	
Ngn2p	3	0.35526315789473684	positive	516	3011	3.2669456149007305	262	5.072823074093925	34.0	-2.5904000550355932	0.0013661878420721436	-3.920776006111855	0.06867064731736419	
Ngn2p	3	0.3736842105263158	positive	478	2364	3.3406485722882815	242	1.6198347480490471	2.0	-43.636797302428235	0.0022969732230260233	-51.00343202021361	9.045290555365653e-11	
Ngn2p	3	0.39210526315789473	positive	434	1895	3.351156358467109	228	4.0129286462101454	22.0	-3.3763100559775743	0.005155296043331033	-3.7711604939158465	0.08048302414523917	
Ngn2p	3	0.4105263157894737	positive	376	1516	3.1891037468181427	204	4.3140551946386205	23.0	-2.0145440962677896	0.013911221584813746	-2.5190693954204244	0.13275050037487143	
Ngn2p	3	0.42894736842105263	positive	339	1207	3.5612052544882116	179	9.423641807795555	33.0	-0.1335591785945649	0.43835937702641037	-0.18026164161704794	0.6611204420041553	
Ngn2p	3	0.4473684210526316	positive	299	958	3.8765744787992347	160	3.7866959588931146	16.0	-2.268826183517107	0.020309128850711598	-2.5175477174299377	0.137078640143559	
Ngn2p	3	0.46578947368421053	positive	261	766	3.1356194813704263	140	2.7021371339245333	7.0	-2.8021070109755026	0.3507858975086624	-2.7586713856136806	0.1207577716662764	
Ngn2p	3	0.4842105263157895	positive	207	585	2.71196056196933	119	2.4742817916417623	5.0	-1.3391998903375963	0.7042165408856687	-2.5498043526902405	0.11519416927163369	
Ngn2p	3	0.5026315789473684	positive	177	471	2.39272353556799	107	2.4213885383872586	5.0	-3.947697562932361	0.17661014735791425	-3.5062871867256273	0.07377351739566945	
Ngn2p	3	0.5210526315789474	positive	118	344	2.0621865679968394	65	2.2724017005235755	4.0	-4.873568205479181	0.11161272668819863	-4.274227900385227	0.050862546437044354	
Ngn2p	3	0.5394736842105263	positive	110	283	1.8958885706139192	63	2.3458573182989224	4.0	-3.337018234643546	0.2306785805807373	-2.8201396104653575	0.11793821665737914	
Ngn2p	3	0.5578947368421052	positive	83	211	2.006292990591123	46	4.339999641538991	10.0	-1.1347204213314979	0.024591682741500625	-1.801996167759745	0.21461781487506837	
Ngn2p	3	0.5763157894736842	positive	75	170	1.6219722093950715	47	3.231357352191734	6.0	-0.6998184353747163	0.5932984349918033	-0.5118037604935013	0.5026541332206569	
Ngn2p	3	0.5947368421052632	positive	63	139	2.2341874250603126	37	4.630612051307846	9.0	-0.41769032767072933	0.36969896110464906	-0.4019971714129775	0.5698406687658815	
Ngn2p	3	0.6131578947368421	positive	31	43	1.77683765203596	20	2.936267139357729	3.0	-1.2751131232121982	0.08428227977652057	-1.2474733085271312	0.2821172894970174	
Ngn2p	3	0.631578947368421	positive	25	33	1.27818853974122	16	4.193522343636202	4.0	-0.5574489497162854	0.007191602846892199	-1.251385157282579	0.2866322842330332	
Ngn2p	3	0.65	positive	24	52	1.3951367781155013	14	3.8823297273538744	6.0	0.22451323881920837	0.7010327812048123	-0.008838059114936403	0.8754380217020084	
Ngn2p	4	0.3	positive	622	5880	2.8848328615530843	264	6.716907598505046	57.0	-1.8883471672309065	0.008677749604508764	-3.31428037525483	0.17053790107626365	
Ngn2p	4	0.31842105263157894	positive	593	4719	2.9614039647679324	274	5.973006490052006	47.0	-2.324882137348324	0.002471090844091489	-3.8168662360551027	0.09780277168845992	
Ngn2p	4	0.3368421052631579	positive	555	3757	3.115695516500672	274	5.164915817242806	37.0	-3.1390371159852424	0.001560026489323602	-4.426655907677139	0.07349562679667107	
Ngn2p	4	0.35526315789473684	positive	514	2958	3.2511761389134994	253	5.349001878054218	32.0	-1.9048997886032044	0.04706552682373255	-1.974628131223385	0.20396359610741444	
Ngn2p	4	0.3736842105263158	positive	465	2329	3.3883823642678883	243	5.213222520368531	29.0	-1.6851294309289844	0.03211326090636429	-1.9943375294689574	0.18392968697617917	
Ngn2p	4	0.39210526315789473	positive	417	1826	3.343568918386363	229	3.4806173177400113	17.0	-5.569046179051074	0.0015059479215785065	-5.598399606034866	0.030312113594032575	
Ngn2p	4	0.4105263157894737	positive	379	1443	3.7615717266068374	199	3.369227359164156	15.0	-4.552393440491815	0.008127617915092792	-4.244948028452962	0.059656238901033595	
Ngn2p	4	0.42894736842105263	positive	333	1144	3.7225783090992612	177	3.1816614514256787	12.0	-3.911695361695253	0.04223329521506099	-3.301267647212971	0.0866361297598593	
Ngn2p	4	0.4473684210526316	positive	296	900	2.9772630807607507	160	3.254131973689689	11.0	-2.1024769845952984	0.2604627797473007	-1.617136224021126	0.23130392911067577	
