run	nodes	geneid	community
1	471	Cryba1	2
1	471	Snora30	2
1	471	Fzd2	3
1	471	Spata13	3
1	471	Neurod4	2
1	471	Fn1	2
1	471	Vit	3
1	471	Sfrp2	0
1	471	Ednrb	1
1	471	Pou3f3	1
1	471	Pou2f2	1
1	471	Bcl11a	1
1	471	Otx2	2
1	471	Pou3f4	1
1	471	Rfx4	3
1	471	Celsr2	1
1	471	Fgfr3	0
1	471	Enkd1	0
1	471	Rasl11b	2
1	471	Cdca2	0
1	471	H2afv	0
1	471	Lmx1b	1
1	471	Megf11	1
1	471	Masp1	1
1	471	Pax6	0
1	471	Irx3	0
1	471	Sulf1	2
1	471	Mmp25	2
1	471	Hmgn5	2
1	471	Smoc1	1
1	471	Hoxaas2	1
1	471	Pnma5	2
1	471	Prtg	2
1	471	Rrp1b	2
1	471	Sox3	3
1	471	Stil	0
1	471	Myrf	3
1	471	Pcdh8	0
1	471	Foxm1	0
1	471	Zfhx3	1
1	471	Spint1	2
1	471	Fancd2	3
1	471	Iqgap2	3
1	471	Rln1	3
1	471	Rpl23a	2
1	471	Eif4e3	2
1	471	Pou3f1	2
1	471	Nr6a1	2
1	471	Crabp2	3
1	471	Kbtbd11	1
1	471	Nr2f1	1
1	471	Nqo2	0
1	471	Insl6	0
1	471	Diaph3	2
1	471	Psen2	2
1	471	Mir99ahg	1
1	471	Slc25a33	2
1	471	Fanci	3
1	471	Nuf2	0
1	471	Thsd7a	1
1	471	Bcl11b	1
1	471	Ola1	2
1	471	Cit	3
1	471	Top2a	3
1	471	Hoxc4	1
1	471	Pou4f2	1
1	471	Rcor2	2
1	471	Lpar4	0
1	471	Cdt1	0
1	471	Grasp	2
1	471	C130021I20Rik	1
1	471	Nfia	1
1	471	Abracl	2
1	471	Ticrr	3
1	471	Ccnd1	3
1	471	Hes5	0
1	471	C130071C03Rik	1
1	471	Col4a1	1
1	471	Vxn	0
1	471	Cdca8	0
1	471	Mxi1	1
1	471	Frzb	0
1	471	Nrarp	3
1	471	Jade1	2
1	471	Adgrg1	1
1	471	Ckb	1
1	471	Pantr1	1
1	471	Nde1	3
1	471	Dbx1	3
1	471	Fgfrl1	0
1	471	Snhg1	0
1	471	Hoxc5	1
1	471	Tmem266	1
1	471	Greb1	0
1	471	Gm7972	2
1	471	Mtcl1	2
1	471	Adam17	3
1	471	Lbx1	1
1	471	Lgi4	0
1	471	Rpl36a	0
1	471	Dhfr	0
