"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","synapse organization","6/27","489/29008",4.87689636422494e-06,0.00243357128574825,0.00190455636960785,"227580/20964/233878/20618/269788/18190",6
"GO:0034330","cell junction organization","6/27","761/29008",5.90603383994098e-05,0.0147355544306528,0.0115323081822006,"227580/20964/233878/20618/269788/18190",6
"GO:0007267","cell-cell signaling","8/27","1728/29008",0.000124718926499711,0.0207449147744519,0.0162353409583834,"239845/14370/207181/20964/20618/70122/18190/60597",8
