"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021543","pallium development","7/39","162/29008",1.96839669609451e-09,2.74985018444404e-06,1.6140852907975e-06,"18508/13865/18993/18992/16873/12558/15904",7
"GO:0061351","neural precursor cell proliferation","7/39","197/29008",7.66131159653551e-09,5.35142615018005e-06,3.14113775457956e-06,"18508/18993/18992/16873/12558/270190/15904",7
"GO:0007420","brain development","10/39","676/29008",1.52763827662118e-08,7.11370224146598e-06,4.17554462276457e-06,"18508/20319/13865/18993/103889/18992/16873/12558/270190/15904",10
"GO:0007417","central nervous system development","11/39","949/29008",3.14049483851764e-08,9.26305686706995e-06,5.43715578453641e-06,"18508/20319/13865/18993/103889/18992/16873/12558/270190/17118/15904",11
"GO:0060322","head development","10/39","734/29008",3.31533889301e-08,9.26305686706995e-06,5.43715578453641e-06,"18508/20319/13865/18993/103889/18992/16873/12558/270190/15904",10
"GO:0021537","telencephalon development","7/39","257/29008",4.76805574305597e-08,1.11016231217486e-05,6.51634284884316e-06,"18508/13865/18993/18992/16873/12558/15904",7
"GO:0021846","cell proliferation in forebrain","4/39","35/29008",1.41699937747348e-07,2.82792590047208e-05,1.65991355646894e-05,"18508/18993/18992/16873",4
"GO:0021987","cerebral cortex development","5/39","111/29008",3.88823322039235e-07,6.25115754513759e-05,3.66925496564984e-05,"18508/13865/18993/18992/12558",5
"GO:0045893","positive regulation of transcription, DNA-templated","12/39","1538/29008",4.85442475437232e-07,6.25115754513759e-05,3.66925496564984e-05,"18508/20319/13865/18993/244058/103889/18992/244579/329003/16873/17127/15904",12
"GO:1903508","positive regulation of nucleic acid-templated transcription","12/39","1538/29008",4.85442475437232e-07,6.25115754513759e-05,3.66925496564984e-05,"18508/20319/13865/18993/244058/103889/18992/244579/329003/16873/17127/15904",12
"GO:1902680","positive regulation of RNA biosynthetic process","12/39","1540/29008",4.92217129538393e-07,6.25115754513759e-05,3.66925496564984e-05,"18508/20319/13865/18993/244058/103889/18992/244579/329003/16873/17127/15904",12
