"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048699","generation of neurons","9/28","1750/29008",2.50979974178674e-05,0.0209548310242561,0.0160103806255649,"20664/15529/108655/13723/67102/71918/11923/67203/13389",9
"GO:0022008","neurogenesis","9/28","1879/29008",4.40227542526388e-05,0.0209548310242561,0.0160103806255649,"20664/15529/108655/13723/67102/71918/11923/67203/13389",9
