geneid	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
Lhfpl4	92.3840261259022	67.6397754423267	24.0821076660629	18.7071958825918	142.494294775621	116.03358890764	34.3894744760734	36.562068681846	193.041561284378	274.745163743171	44.8645289158487	35.4783861236936	47.5853867989261	58.1407367594162	27.080104374007	37.1359143732892	100.958936577423	102.261241130316	46.9888310425479	25.7759085470765	212.720761726871	191.315606236889	57.7034912679769	73.2690105135562
Greb1l	118.672163641403	95.0785522727044	64.0322707710045	71.4067355030639	108.324744497794	101.764086064629	71.7098700722667	80.2334284962732	71.5400750781984	41.369157224831	42.2254389796223	34.5914264706013	424.323578657781	291.349691983297	206.030501699316	211.546657050599	435.46665776957	555.675752423	142.884404598768	163.784418892882	222.950614483185	218.010807107152	62.5904318965352	69.1377561894088
Gng2	196.034396901305	179.628271575613	101.92892081915	77.7945584873635	348.480945386638	327.072025691113	77.9625017951892	89.3739456667347	353.423523076534	290.933094831149	85.7704229273577	60.3132564102791	312.140412888292	226.102865175508	152.18701931825	155.714730613516	272.979098900328	373.126759992022	91.1007948784092	118.139580840767	348.416749759147	379.294312364995	132.511274735908	104.253417944662
Tmem130	52.5762750310012	27.9173601471867	14.1879083924092	21.216697769281	93.542173101003	58.7678209192414	13.2868424112102	19.2966473598632	254.472712710222	526.557425111708	18.4736295535847	27.4957492458626	4.43801534912264	12.9201637243147	0.31672636694745	1.53665852579128	17.1153562008936	16.4801173722411	0.958955735562202	2.14799237892304	132.085451765342	182.787972625555	9.21000349228296	9.7205984097587
2510009E07Rik	54.8295439609013	56.7918869279912	17.3615194801849	22.1292439098952	97.4195688772104	111.151916882399	37.125000854852	34.5308426439657	102.83885792491	80.9396554398868	31.6690792347167	43.4610230015247	153.358085953016	103.361309794518	34.3648108137983	31.7576095330197	169.203711302505	176.210485749347	23.9738933890551	34.9048761574994	137.501256165743	83.4225027195736	75.5596204877092	61.2397699814798
Rai2	6.75980678970016	5.90252757397662	1.86683005163279	1.82509228122847	13.8132224527388	16.8980954719863	4.68947379219183	3.0468390568205	25.8555162646749	47.6644637590444	9.23681477679237	9.75655618401574	19.2313998461981	22.6102865175508	5.54271142158037	8.45162189185202	20.798407535263	16.0575502601323	6.71269014893541	8.0549714209614	43.928191247699	57.839601885571	23.8708253779579	25.0305409051287
Zc2hc1a	144.960301156903	165.111244299076	85.6874993699449	80.7603334443598	265.843947906218	190.385208984379	73.4684227443387	94.4520107614355	275.07936477079	242.369301567217	79.1726980867918	60.3132564102791	211.05228549161	158.272005622855	116.238576669714	114.224950417152	180.036215227121	153.391861695474	61.3731670759809	78.9387199254217	200.986518859335	206.887806744543	121.04576018429	108.627687229054
Pcdhb14	9.76416536290023	8.93355524709975	1.86683005163279	1.36881921092135	11.3898500926092	15.9593123902093	2.34473689609592	2.03122603788033	11.8585450537231	8.99329504887631	5.27817987245278	3.54783861236936	0.0	1.29201637243147	2.5338109355796	2.04887803438837	3.46640125587717	7.60620801795741	0.958955735562202	4.83298285257684	14.7430230899812	17.426033901422	9.02204423733841	8.62703108866085
Foxo1	21.7815996557005	16.4313605437727	51.1511434147383	53.1558126907792	0.0	1.87756616355404	66.8250015387336	83.2802675530937	2.52723091308853	5.39597702932579	83.1313329911313	53.2175791855404	39.4490253255346	46.512589407533	32.1477262451662	34.5748168303037	6.71615243326203	5.49337245741369	41.2350966291747	27.3869028312688	3.00878022244514	5.19073350255125	20.2995995340114	27.5821979876903
Nhlrc1	5.25762750310012	1.91433326723566	5.04044113940852	7.30036912491388	2.66570959614257	2.25307939626484	5.66644749889846	6.093678113641	14.5801783447415	20.6845786124155	9.23681477679237	5.32175791855404	0.0	1.29201637243147	2.69217411905332	1.02443901719418	0.216650078492323	0.84513422421749	3.83582294224881	0.53699809473076	16.8491692456928	8.89840029008785	12.5932700812849	13.7303452537842
Cdkn2a	7.51089643300018	18.505221583278	44.243872223697	36.0455725542623	5.33141919228515	3.00410586168646	48.2625011113076	47.7338118901879	2.72163329101842	1.34899425733145	47.503618852075	31.9305475113243	53.2561841894717	48.4506139661802	74.5890594161244	68.3813043977118	12.3490544740624	13.9447146995886	42.1940523647369	53.699809473076	3.30965824468965	2.22460007252196	45.110221186692	24.4230035045187
Snhg11	669.971961823616	464.225817304647	96.1417476590885	155.13284390442	1084.70146839401	795.900296730557	153.1894772116	142.185822651623	1444.21526564113	1803.1556572997	172.860390822829	111.756916289635	779.364806587593	634.380038863853	216.482471808582	178.252388991788	1025.18817142567	1069.51736074723	98.7724407629068	78.4017218306909	1116.55834054939	2272.79974075994	88.7167683338277	213.245627614082
Cnrip1	36.0523028784008	28.3959434639956	4.85375813424524	7.30036912491388	50.163807854683	61.7719267809278	4.29868430950918	4.06245207576067	32.0763923584313	30.1275384137356	5.27817987245278	3.54783861236936	69.7754635445393	64.6008186215736	26.1299252731646	18.4399023094953	79.2939287281904	79.4426170764441	12.4664245623086	11.8139580840767	64.387896760326	58.5811352430783	6.0146961582256	15.188435015248
Zbtb7c	11.2663446495003	6.54063866305517	1.12009803097967	0.912546140614235	14.7825713967906	10.3266138995472	1.17236844804796	3.0468390568205	11.0809355420035	8.99329504887631	17.1540845854715	8.8695965309234	0.986225633138365	3.87604911729441	1.10854228431607	0.512219508597092	4.54965164833879	2.95796978476122	0.958955735562202	1.61099428419228	10.2298527563135	9.63993364759517	3.57122584394645	4.13125432414745
