geneid	Ascl1_ESC_1	Ascl1_ESC_2	Ascl1_D2_1	Ascl1_D2_2	Ascl1_D3_GFPpos_1	Ascl1_D3_GFPpos_2	Ascl1_D3_GFPneg_1	Ascl1_D3_GFPneg_2	Ascl1_D4_GFPpos_1	Ascl1_D4_GFPpos_2	Ascl1_D4_GFPneg_1	Ascl1_D4_GFPneg_2	Ascl1_D6_GFPpos_1	Ascl1_D6_GFPpos_2	Ascl1_D6_GFPneg_1	Ascl1_D6_GFPneg_2	Ngn2_ESC_1	Ngn2_ESC_2	Ngn2_D2_combi_1	Ngn2_D2_combi_2	Ngn2_D3_GFPpos_1	Ngn2_D3_GFPpos_2	Ngn2_D3_GFPneg_1	Ngn2_D3_GFPneg_2	Ngn2_D4_GFPpos_1	Ngn2_D4_GFPpos_2	Ngn2_D4_GFPneg_1	Ngn2_D4_GFPneg_2	Ngn2_D6_GFPpos_1	Ngn2_D6_GFPpos_2	Ngn2_D6_GFPneg_1	Ngn2_D6_GFPneg_2
Tpd52	153.978566919637	171.416159178877	160.12750181638	108.417102144748	139.702673653803	96.3547744508615	135.718544753704	157.870482326263	84.8180326045364	107.772297788002	153.384871952941	153.357565859965	125.583936142707	98.4765807851956	114.800412225848	132.156988310759	156.428972863893	171.65598166798	127.474384205214	111.714976544486	97.1432248641289	116.927481705048	87.2581140940224	66.588536117622	139.522650549056	130.150670529494	51.7836097203589	49.9408228099607	53.857165981768	50.0535016317442	37.2159324790209	36.0877215962292
Zdbf2	80.3633158026792	81.1282585426748	500.07607814691	377.173954750555	1111.61267208403	702.719836847757	577.223851964857	536.348994146017	859.570176137973	755.7203808305	458.20066844541	427.57308097381	890.557293296812	909.671794193839	295.578072857356	301.566282051396	59.1928265000223	56.6427718084852	251.294359419723	279.229557953678	379.450312349986	290.057675610865	255.281451759645	314.502778278615	238.098436263063	346.92759904128	210.011306088122	261.51807213388	564.748047752953	572.092985316898	245.850705467472	239.855765760796
Ptpn1	123.919006046879	121.692387814012	135.979430532212	175.198118375474	509.238778157412	429.927346266675	253.888887022059	197.566239442982	592.999216523716	499.99586935444	254.013163743724	248.825189640341	390.165572505283	553.087645505893	190.0144754083	174.731051659191	80.8581747614684	94.2812149491998	194.543537446406	148.528823737383	344.439302373574	410.861206433208	239.76185977922	215.388303365077	447.382412086648	534.969963929671	245.492668303924	211.577249323919	455.529325678194	405.618746556504	287.013782300328	367.195604928635
Mmp24	1.84038127792395	0.0	2.5789202342316	1.79606645119312	51.0740957444012	47.5392761363522	11.5743463201233	16.1976939959027	52.5871802148126	118.662181536615	23.8381584436418	19.2966473598632	100.506029389751	75.543678410561	11.8759047130188	15.0783141025698	2.32128731372637	0.493618926435601	9.67343556363347	6.59870845910433	76.4324865682233	56.202712200769	18.0534029160046	17.9276828008982	86.2267312399447	88.3165264307277	11.5074688267464	11.8139580840767	76.122139627862	56.3565351705564	30.2614400460726	23.4509436635429
Kpna4	44.7826110961495	39.255608972262	156.845239700086	151.196139436803	111.161267208403	184.892688060511	176.415439879298	117.94658867439	197.504847350563	182.499431097452	143.419740144533	86.3271066099142	147.940209604644	106.570546329184	79.1726980867918	72.7306915535719	167.00372618198	169.558101230629	299.66153723789	227.944858876779	313.126638521431	162.14805474015	245.146208017326	250.21922994968	323.025267032054	278.894293991772	102.608263705156	190.63432362942	245.516466151523	256.570541697533	167.28373690065	106.683567547102
Dclk1	7.36152511169581	5.2340811963016	12.1912592890948	16.8177131338992	200.540934761105	265.932796373487	41.4436271462478	52.0151300150114	353.327690106897	520.649097153535	76.0085543817759	37.5776817007862	487.172359092296	307.57069067157	51.4622537564146	40.8001440422477	1.28960406318131	1.8510709741335	10.1033660331283	11.5766815072006	219.681759781571	124.679579939637	62.5534574721213	47.8925240538281	339.274022918978	323.26384076319	35.4813622158015	67.124761841345	475.989031190821	381.518912437517	153.186792779808	90.7660876511219
Kcnab1	0.0	0.0	0.0	0.0	17.2750617959004	16.5908883160424	0.0	0.0	12.601536272674	10.702127132258	0.586184224023979	0.0	13.2193616992323	20.2349138599717	1.3195449681132	0.0	0.90272284422692	0.246809463217801	0.21496523474741	0.231533630144012	0.0	0.646008186215736	1.10854228431607	0.0	8.88265321818526	2.53540267265247	0.0	0.0	1.80526813346708	3.33690010878294	0.0	0.0
Shox2	0.613460425974651	0.0	6.09562964454742	19.1036158899632	275.649899091106	350.642043448665	21.468545593777	16.1976939959027	581.85170366712	484.975340046008	26.1828953397377	14.2185822651623	333.788882905616	272.496839980952	22.4322644579243	21.2870316742162	3.48193097058955	2.96171355861361	14.6176359628239	22.2272284938251	176.780944740052	84.6270723942614	43.2331490883269	35.0870363389008	168.120460910043	149.588757686496	18.2201589756818	21.4799237892304	93.2721868957993	143.115937998913	49.4332840504167	22.478883822567
S100a11	39.8749276883523	41.8726495704128	14.7701795233265	23.8387001703814	6.00871714640014	5.74299980170698	9.14746725300065	15.7414209255956	0.242337236012961	0.187756616355404	11.5282897391383	23.3590994356238	1.16641426757932	4.04698277199434	35.6277141390563	22.1739913273085	19.9888629793104	23.8171132005178	12.038053145855	8.21944387011241	2.95867689941509	7.75209823458883	5.7010746050541	8.96384140044911	2.16650078492323	2.53540267265247	6.71269014893541	8.0549714209614	0.300878022244514	0.0	0.3759185098891	3.15919448317158
Chrnb2	0.0	1.3085202990754	3.98560399835793	4.73508428041822	51.8251853877012	43.232026285072	19.2283495318177	11.4068267576779	54.2835408669033	48.0656937869834	10.160526549749	32.4996166060853	38.4916708301176	75.9933431630048	22.4322644579243	13.3043947963851	0.0	1.1106425844801	7.09385274666455	6.71447527417634	47.5853867989261	87.2111051391243	22.1708456863215	19.208231572391	71.7111759809591	70.1461406100517	25.8918048601795	11.276959989346	54.7598000485015	43.0089347354246	22.1791920834569	30.3768700304959
Lef1	17.1768919272902	31.4044871778096	0.703341882063164	2.9390178292251	0.0	0.0	0.560049015489836	2.50950188668915	5.08908195627218	0.0	8.79276336035968	2.03122603788033	7.58169273926559	1.34899425733145	1.3195449681132	2.66087895927702	24.502477200445	24.804351053389	25.150932465447	28.4786365077134	40.1886945503884	16.1502046553934	17.7366765490572	19.9765608352866	36.830513343695	37.1859058655696	7.67164588449762	17.1839390313843	19.2561934236489	14.8306671501464	10.1497997670057	4.61728424463538
